Region,TaskType,CandidateID,CandidateRank,CandidateModel,HuberEpsilon,HuberAlpha,WindowCount,MeanRMSE,MeanMAE,MeanWAPE,StdRMSE,WindowRankMin,WindowRankMax,WindowRankStd,WindowWinnerCount,FinalTestUsedForSelection
RegionB,AITraining,"Huber(epsilon=1.75,alpha=0.01)",10,Huber,1.75,0.01,8,51.840429199296565,34.750597571454726,1.2129014743957864,11.074273118784443,1,3,0.9270248108869579,3,False
RegionC,RealTimeInference,SeasonalNaive24,0,SeasonalNaive24,,,8,8.279882493965824,6.473958333333333,0.8800554913519407,1.0210309591053726,10,11,0.4841229182759271,0,False
RegionC,RealTimeInference,SeasonalNaive168,1,SeasonalNaive168,,,8,7.871521561539343,6.046875,0.8293091893748588,1.7146982162724431,1,11,3.152380053229623,1,False
RegionC,RealTimeInference,"Huber(epsilon=1.10,alpha=0.0001)",2,Huber,1.1,0.0001,8,5.988465773043317,4.56407913296248,0.6216204452781162,0.7632516406529348,2,10,2.537222891273055,0,False
RegionC,RealTimeInference,"Huber(epsilon=1.10,alpha=0.001)",3,Huber,1.1,0.001,8,5.988459359227505,4.564082338293911,0.6216211772222222,0.7632574053939963,1,9,2.595067436503337,1,False
RegionC,RealTimeInference,"Huber(epsilon=1.10,alpha=0.01)",4,Huber,1.1,0.01,8,5.988465291753404,4.564078359122901,0.6216202920030514,0.763254002753597,3,9,1.920286436967152,0,False
RegionC,RealTimeInference,"Huber(epsilon=1.35,alpha=0.0001)",5,Huber,1.35,0.0001,8,5.96400299352471,4.555283342964486,0.6205188609147719,0.7741881911891794,3,8,1.5761900266148114,0,False
RegionC,RealTimeInference,"Huber(epsilon=1.35,alpha=0.001)",6,Huber,1.35,0.001,8,5.964002968895717,4.55528354738105,0.6205188840651839,0.7741878488063139,2,7,1.3635890143294642,0,False
RegionC,RealTimeInference,"Huber(epsilon=1.35,alpha=0.01)",7,Huber,1.35,0.01,8,5.964004048888009,4.555282660052888,0.6205185822296235,0.7741858111883506,1,9,2.1469455046647083,1,False
RegionC,RealTimeInference,"Huber(epsilon=1.75,alpha=0.0001)",8,Huber,1.75,0.0001,8,5.914683382246016,4.578302833046953,0.6246624710044204,0.7353620309449179,1,9,3.0,2,False
RegionC,RealTimeInference,"Huber(epsilon=1.75,alpha=0.001)",9,Huber,1.75,0.001,8,5.914682724584976,4.578303001814458,0.6246624683117857,0.735361878822935,2,8,2.598076211353316,0,False
RegionC,RealTimeInference,"Huber(epsilon=1.75,alpha=0.01)",10,Huber,1.75,0.01,8,5.91468156357577,4.578301806146198,0.624662197708769,0.7353657502887232,1,7,2.341874249399399,3,False
RegionC,BatchInference,SeasonalNaive24,0,SeasonalNaive24,,,8,21.93591070397173,17.026041666666664,1.1951337353285738,5.588137428581371,10,11,0.4841229182759271,0,False
RegionC,BatchInference,SeasonalNaive168,1,SeasonalNaive168,,,8,20.541693988065838,15.895833333333332,1.1058434223633258,5.0566844968477005,10,11,0.4841229182759271,0,False
RegionC,BatchInference,"Huber(epsilon=1.10,alpha=0.0001)",2,Huber,1.1,0.0001,8,14.771348586281103,11.614613187022266,0.80035995327897,4.515653266999916,6,9,0.9270248108869579,0,False
RegionC,BatchInference,"Huber(epsilon=1.10,alpha=0.001)",3,Huber,1.1,0.001,8,14.77120957837625,11.614458095481474,0.8003488728943746,4.515654857597662,5,8,0.7806247497997998,0,False
RegionC,BatchInference,"Huber(epsilon=1.10,alpha=0.01)",4,Huber,1.1,0.01,8,14.771428770113136,11.614918280232143,0.8003806538742002,4.5156142711478955,4,9,1.6153559979150107,0,False
RegionC,BatchInference,"Huber(epsilon=1.35,alpha=0.0001)",5,Huber,1.35,0.0001,8,14.674533917562245,11.58067044178726,0.7980259817819007,4.484929018482068,2,6,1.3169567191065923,0,False
RegionC,BatchInference,"Huber(epsilon=1.35,alpha=0.001)",6,Huber,1.35,0.001,8,14.674530744430808,11.580635364389545,0.7980233281814948,4.484931416077998,2,5,1.0532687216470449,0,False
RegionC,BatchInference,"Huber(epsilon=1.35,alpha=0.01)",7,Huber,1.35,0.01,8,14.674577384000921,11.580692022420163,0.7980269074510219,4.484962903631108,1,6,2.0463381929681126,2,False
RegionC,BatchInference,"Huber(epsilon=1.75,alpha=0.0001)",8,Huber,1.75,0.0001,8,14.526743827201393,11.565199092887193,0.7981123562754546,4.325713836281481,1,8,2.165063509461097,2,False
RegionC,BatchInference,"Huber(epsilon=1.75,alpha=0.001)",9,Huber,1.75,0.001,8,14.526762971698103,11.565206032663443,0.798112886485528,4.325703043851845,2,9,2.449489742783178,0,False
RegionC,BatchInference,"Huber(epsilon=1.75,alpha=0.01)",10,Huber,1.75,0.01,8,14.526603594119454,11.565014469366103,0.7980977103644641,4.325780242777937,1,7,1.996089927833914,4,False
RegionC,AITraining,SeasonalNaive24,0,SeasonalNaive24,,,8,57.099727253804446,35.411458333333336,1.764461604812821,9.89272152685035,4,11,2.8476964374736293,0,False
RegionC,AITraining,SeasonalNaive168,1,SeasonalNaive168,,,8,61.07664014212644,39.24479166666667,1.9016639416242098,12.59146816760681,1,11,3.24037034920393,1,False
RegionC,AITraining,"Huber(epsilon=1.10,alpha=0.0001)",2,Huber,1.1,0.0001,8,46.14482947175057,23.6666993599336,1.0000030925024257,12.851144560851338,4,10,2.2043990110685496,0,False
RegionC,AITraining,"Huber(epsilon=1.10,alpha=0.001)",3,Huber,1.1,0.001,8,46.144831562148795,23.666698593562877,1.0000030671458675,12.851146676263802,4,9,1.8540496217739157,0,False
RegionC,AITraining,"Huber(epsilon=1.10,alpha=0.01)",4,Huber,1.1,0.01,8,46.144843349625454,23.666683688970757,1.000002284483529,12.851147615588566,5,10,1.5761900266148114,0,False
RegionC,AITraining,"Huber(epsilon=1.35,alpha=0.0001)",5,Huber,1.35,0.0001,8,46.14482301422334,23.666725188396274,1.000005974484217,12.851148798916382,5,8,0.9921567416492215,0,False
RegionC,AITraining,"Huber(epsilon=1.35,alpha=0.001)",6,Huber,1.35,0.001,8,46.14485013494543,23.66668581843721,1.000000877006641,12.851096380307153,4,9,1.713913650100261,0,False
RegionC,AITraining,"Huber(epsilon=1.35,alpha=0.01)",7,Huber,1.35,0.01,8,46.14476876614353,23.666739935961363,1.0000060009520013,12.851080988237372,4,10,1.899835519196333,0,False
RegionC,AITraining,"Huber(epsilon=1.75,alpha=0.0001)",8,Huber,1.75,0.0001,8,41.48439802280345,28.58043642000356,1.3562705229706178,11.25288151602448,1,4,1.165922381636102,4,False
RegionC,AITraining,"Huber(epsilon=1.75,alpha=0.001)",9,Huber,1.75,0.001,8,41.48439848494515,28.580439019635428,1.3562709492524474,11.252874310459307,2,3,0.33071891388307384,0,False
RegionC,AITraining,"Huber(epsilon=1.75,alpha=0.01)",10,Huber,1.75,0.01,8,41.484409751713955,28.580463084101886,1.3562751606432575,11.252807464255085,1,3,0.9270248108869579,3,False
RegionD,RealTimeInference,SeasonalNaive24,0,SeasonalNaive24,,,8,2.3114615993394185,1.140625,1.7302655677655676,0.6502078704377973,1,11,4.205650960315181,2,False
RegionD,RealTimeInference,SeasonalNaive168,1,SeasonalNaive168,,,8,2.526815455158351,1.2291666666666667,1.9236877705627706,0.3960685827474331,10,11,0.5,0,False
RegionD,RealTimeInference,"Huber(epsilon=1.10,alpha=0.0001)",2,Huber,1.1,0.0001,8,1.8593039353487177,0.6822916751524134,1.0000000096159214,0.46353410009857954,4,9,1.920286436967152,0,False
RegionD,RealTimeInference,"Huber(epsilon=1.10,alpha=0.001)",3,Huber,1.1,0.001,8,1.8593039365164352,0.6822916708027478,1.000000006973677,0.4635341036332835,3,9,1.8540496217739157,0,False
RegionD,RealTimeInference,"Huber(epsilon=1.10,alpha=0.01)",4,Huber,1.1,0.01,8,1.8593039373845162,0.6822916691997234,1.0000000039481431,0.46353410237070924,4,9,1.5360257159305635,0,False
RegionD,RealTimeInference,"Huber(epsilon=1.35,alpha=0.0001)",5,Huber,1.35,0.0001,8,1.8593039313494217,0.6822916766918573,1.0000000146459496,0.4635341024671388,2,7,1.5360257159305635,0,False
RegionD,RealTimeInference,"Huber(epsilon=1.35,alpha=0.001)",6,Huber,1.35,0.001,8,1.8593039330868135,0.6822916745525769,1.0000000122920967,0.4635341029967507,1,10,3.307189138830738,1,False
RegionD,RealTimeInference,"Huber(epsilon=1.35,alpha=0.01)",7,Huber,1.35,0.01,8,1.859303935053216,0.6822916726826846,1.0000000094540145,0.4635341029956579,3,7,1.299038105676658,0,False
RegionD,RealTimeInference,"Huber(epsilon=1.75,alpha=0.0001)",8,Huber,1.75,0.0001,8,1.8593039243406104,0.6822916972190406,1.000000048058,0.463534092501702,1,9,2.6457513110645907,1,False
RegionD,RealTimeInference,"Huber(epsilon=1.75,alpha=0.001)",9,Huber,1.75,0.001,8,1.859303923633869,0.6822916906918741,1.0000000375809348,0.4635341014330887,1,9,3.0998991919093113,3,False
RegionD,RealTimeInference,"Huber(epsilon=1.75,alpha=0.01)",10,Huber,1.75,0.01,8,1.8593039235783135,0.6822917055427672,1.0000000529013717,0.46353409380029076,1,9,2.9973947020704497,1,False
RegionD,BatchInference,SeasonalNaive24,0,SeasonalNaive24,,,8,25.11113818228939,19.520833333333336,0.9795556411913799,2.6187444555170276,10,11,0.4841229182759271,0,False
RegionD,BatchInference,SeasonalNaive168,1,SeasonalNaive168,,,8,24.130692568922072,19.0,0.9428383379036614,3.7194994480667947,10,11,0.4841229182759271,0,False
RegionD,BatchInference,"Huber(epsilon=1.10,alpha=0.0001)",2,Huber,1.1,0.0001,8,18.503327500856265,14.608725055376436,0.7256347920765303,2.5871367204119586,4,8,1.5612494995995996,0,False
RegionD,BatchInference,"Huber(epsilon=1.10,alpha=0.001)",3,Huber,1.1,0.001,8,18.50327941424917,14.608765684456706,0.7256368760987677,2.587159059651213,4,9,1.5,0,False
RegionD,BatchInference,"Huber(epsilon=1.10,alpha=0.01)",4,Huber,1.1,0.01,8,18.503297223470348,14.608774157285945,0.7256374330394332,2.587079886162084,4,9,1.899835519196333,0,False
RegionD,BatchInference,"Huber(epsilon=1.35,alpha=0.0001)",5,Huber,1.35,0.0001,8,18.51927940969611,14.586746655219235,0.724335767138695,2.6315624416616084,4,9,2.0879116360612584,0,False
RegionD,BatchInference,"Huber(epsilon=1.35,alpha=0.001)",6,Huber,1.35,0.001,8,18.519301572138485,14.586820881816719,0.7243396712766995,2.6315730989634165,5,8,1.1989578808281798,0,False
RegionD,BatchInference,"Huber(epsilon=1.35,alpha=0.01)",7,Huber,1.35,0.01,8,18.519340726356226,14.586804276198013,0.7243389378402457,2.631486588372685,4,9,1.5612494995995996,0,False
RegionD,BatchInference,"Huber(epsilon=1.75,alpha=0.0001)",8,Huber,1.75,0.0001,8,18.30038542032755,14.516397854408659,0.7213303140672968,2.562045075542756,1,3,0.9270248108869579,4,False
RegionD,BatchInference,"Huber(epsilon=1.75,alpha=0.001)",9,Huber,1.75,0.001,8,18.30038964016623,14.516401677989286,0.7213305006864481,2.562047651209212,2,3,0.33071891388307384,0,False
RegionD,BatchInference,"Huber(epsilon=1.75,alpha=0.01)",10,Huber,1.75,0.01,8,18.300405531179848,14.516403694923303,0.7213305945941864,2.5620107241028403,1,3,1.0,4,False
RegionD,AITraining,SeasonalNaive24,0,SeasonalNaive24,,,8,175.49760644531125,133.91145833333331,0.8111736841731118,24.718024940651006,10,11,0.4330127018922193,0,False
RegionD,AITraining,SeasonalNaive168,1,SeasonalNaive168,,,8,166.84464906876678,132.41666666666666,0.7881086131687862,30.4793057191279,10,11,0.4330127018922193,0,False
RegionD,AITraining,"Huber(epsilon=1.10,alpha=0.0001)",2,Huber,1.1,0.0001,8,122.3396961283527,95.87723476859293,0.5710484475029611,28.574148017539198,1,8,2.6427968139832467,1,False
RegionD,AITraining,"Huber(epsilon=1.10,alpha=0.001)",3,Huber,1.1,0.001,8,122.3910345862701,95.9047032168672,0.5712027757389974,28.631796621818857,1,9,3.119995993587171,1,False
RegionD,AITraining,"Huber(epsilon=1.10,alpha=0.01)",4,Huber,1.1,0.01,8,122.34417609053583,95.93299971699689,0.5713878894937952,28.50559288088285,1,9,2.7357585785299112,1,False
RegionD,AITraining,"Huber(epsilon=1.35,alpha=0.0001)",5,Huber,1.35,0.0001,8,121.92931832878773,96.09249826568566,0.5723878535395222,28.175765295885725,2,6,1.1989578808281798,0,False
RegionD,AITraining,"Huber(epsilon=1.35,alpha=0.001)",6,Huber,1.35,0.001,8,121.92915929192964,96.0921743045607,0.57238609691453,28.17595393922028,1,6,1.5761900266148114,1,False
RegionD,AITraining,"Huber(epsilon=1.35,alpha=0.01)",7,Huber,1.35,0.01,8,121.92904750149606,96.09243730317188,0.5723880189185319,28.17512261455929,2,6,1.2686114456365274,0,False
RegionD,AITraining,"Huber(epsilon=1.75,alpha=0.0001)",8,Huber,1.75,0.0001,8,121.74173317713951,96.54485919310027,0.5752815547662122,27.42823778909839,2,9,2.7386127875258306,0,False
RegionD,AITraining,"Huber(epsilon=1.75,alpha=0.001)",9,Huber,1.75,0.001,8,121.74166525059431,96.54478581212882,0.5752811075399441,27.428326536820844,1,9,2.8722813232690143,1,False
RegionD,AITraining,"Huber(epsilon=1.75,alpha=0.01)",10,Huber,1.75,0.01,8,121.7413315539713,96.54426627482957,0.5752780331815666,27.428051000251656,1,9,3.0388114452858046,3,False
RegionE,RealTimeInference,SeasonalNaive24,0,SeasonalNaive24,,,8,2.895943492520151,1.5104166666666667,1.7154282377568668,0.691443867181946,1,11,3.0998991919093113,1,False
RegionE,RealTimeInference,SeasonalNaive168,1,SeasonalNaive168,,,8,3.4217169810817323,2.010416666666667,2.2321782384282383,0.8355255240726743,10,11,0.4330127018922193,0,False
RegionE,RealTimeInference,"Huber(epsilon=1.10,alpha=0.0001)",2,Huber,1.1,0.0001,8,2.3225119717133706,0.9583333381591451,1.0000000066483195,0.7442142125381541,6,10,1.1989578808281798,0,False
RegionE,RealTimeInference,"Huber(epsilon=1.10,alpha=0.001)",3,Huber,1.1,0.001,8,2.322511969135084,0.9583333599273145,1.0000000359221344,0.744214211493659,4,9,1.6583123951777,0,False
RegionE,RealTimeInference,"Huber(epsilon=1.10,alpha=0.01)",4,Huber,1.1,0.01,8,2.3225119662780203,0.9583333422232768,1.0000000088833687,0.7442142103081464,4,9,1.8540496217739157,0,False
RegionE,RealTimeInference,"Huber(epsilon=1.35,alpha=0.0001)",5,Huber,1.35,0.0001,8,2.322511966653786,0.9583333439449067,1.0000000143549788,0.7442142105090566,4,9,1.7320508075688772,0,False
