scenario_type,parameter,level,seed,alternation_round,task_candidate_budget,task_candidates_checked,unique_tasks_visited,local_task_moves_accepted,full_task_audit_passed,incumbent_schedule_before_sha256,candidate_schedule_sha256,storage_trajectory_sha256,joint_score_before,joint_score_candidate,improvement,accepted,incumbent_schedule_after_sha256,neighborhood_rebuilt_from_previous_storage
renewable_level,renewable_scale,0.8,,1,600,600,26,61,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,3c38411ed9c5406dd3abf1d5e7f61e3fdd31aa66a62d1d0bb18ba696e47932e3,c8ffe0c74f15b00371385586fc39d6b24e2e9de665e9257ebef4ec543820de1d,253.5588121211957,253.56129072280092,-0.0024786016052189552,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
renewable_level,renewable_scale,0.8,,2,600,600,26,52,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,2d448891a92b13b1739e2ef2cae0fa18612611ccb3c7117693bb9d438511e6da,e343d084eba1446d2c605cb769a92f2ca7c14f3109bfbd0954170c1c42cf989d,253.5588121211957,253.6604102717474,-0.10159815055169474,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
renewable_level,renewable_scale,1.0,,1,600,600,26,48,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,589fa6c07d1cea2d8665b2adf911b15bd3130fe2e9253f841190ff27b090b5c1,661b14c4e2816524e548180c0178c93041a4a3b4a352634353f0989a31989299,0.18597590834097621,0.18824267959807162,-0.0022667712570954013,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
renewable_level,renewable_scale,1.0,,2,600,600,26,46,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,0697ed92996531b501baab57273563d84afe12b13d6e76ce3d902f9fab3eb8f0,56b1c9787b025af48f1d3cd666377508af5aa7ada6459719ffcc3b2a295d2a24,0.18597590834097621,0.1884114802181876,-0.0024355718772113844,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
renewable_level,renewable_scale,1.2,,1,600,600,26,41,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,dfc49e50289ef85dbdf46e7320ae6fe43e8fd78551a3b3e87672acd82e794d5b,fc2d236871d82a8d944278d700e0a66700693014e2f6904e30f35a6ebc076eee,-0.1967966482733859,-0.19460712354448723,-0.002189524728898662,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
renewable_level,renewable_scale,1.2,,2,600,600,26,41,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,1f6b75ec4d7ae99feccf0bfd6fc05e0b0e8c8db707b1ccd3166919514efcc61e,80a3465f36d2db1b6064252a108321966cbd89cabfc64866761deda77d87da63,-0.1967966482733859,-0.1946853869824905,-0.0021112612908953943,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
renewable_volatility,seed,2026.0,2026.0,1,600,600,26,46,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,4704e57a8c3b294ee81ccee78dcab1a14c5d7d1c5989d58319d5c88054ce05cf,1d077ab943f0b25a6d605900095cdcbbfb9d2fff848716c779caf33deb893c5c,494.23052274202615,494.2326886240026,-0.0021658819764525106,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
renewable_volatility,seed,2026.0,2026.0,2,600,600,26,51,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,b61d05a0c7afc0ec1f2f384a47ac7ecd5584357833dff07a321e7bb0131d2a74,b607b42a3841d00aae6529c4959d8088fffa2b5079b49844cf719df18855fda3,494.23052274202615,494.2327126002036,-0.002189858177473525,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
renewable_volatility,seed,2027.0,2027.0,1,600,600,26,52,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,d50fc8b056a49903d512b95a0300b2b79629015079c0fdc638adb6b505b30b25,90df75b526f8691dcfe536891613af170f4716fbcd801e9c26bd1210267551d7,553.9977163745319,553.9995648511318,-0.0018484765998891817,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
renewable_volatility,seed,2027.0,2027.0,2,600,600,26,48,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,c6d595d50e21b7b3218623af51b3a06f9667af2b1d80ca2c0c68da4e31471a37,82f2a83a93fa315c3f5e8c9263d9620235309e97007c09537f8d454dfc5a0164,553.9977163745319,553.9996657006617,-0.0019493261297611753,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
renewable_volatility,seed,2028.0,2028.0,1,600,600,26,59,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,719c66298af2782cecd8d2f5e647dc7b35a51a5cf5fe8b8045cdc77da139a6ca,61e468096ff2ce9ee9ebacb15de4f1a76bb61824e0e621f8de8475a40d1613f5,303.0343348196146,294.82047237524756,8.213862444367066,True,719c66298af2782cecd8d2f5e647dc7b35a51a5cf5fe8b8045cdc77da139a6ca,True
renewable_volatility,seed,2028.0,2028.0,2,600,600,23,20,True,719c66298af2782cecd8d2f5e647dc7b35a51a5cf5fe8b8045cdc77da139a6ca,642975696ffd715459d5e7f18b3f5dd1340c28f9432543018b171889392f0e72,a8f270c2dbce1b100df46663344da7b1b897fba5e6031c89c55ede262c342edb,294.82047237524756,294.82078121979083,-0.00030884454326951527,False,719c66298af2782cecd8d2f5e647dc7b35a51a5cf5fe8b8045cdc77da139a6ca,True
renewable_volatility,seed,2028.0,2028.0,3,600,600,26,40,True,719c66298af2782cecd8d2f5e647dc7b35a51a5cf5fe8b8045cdc77da139a6ca,f32cc286739ced3565cf93c770dd334317879cf0ec0bcbaf8b496e02cb952bed,e33d6645abc31cec5f41ea4dc75fb2285fb6837feb6c469fbf116dedf694b26e,294.82047237524756,294.8219035351207,-0.0014311598731637787,False,719c66298af2782cecd8d2f5e647dc7b35a51a5cf5fe8b8045cdc77da139a6ca,True
